Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Kyle Bird #2,M,SBD,Raw,26,24-34,24-39,Open,116.8,125,207.5,217.5,-225,,217.5,95,100,107.5,,107.5,205,215,225,,225,550,1,318.78,318.29,304.83,64.70,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
Tom Christie,M,SBD,Raw,31,24-34,24-39,Open,109.05,110,-170,170,180,,180,100,-105,-105,,100,172.5,185,-195,,185,465,1,276.31,274.39,262.18,56.42,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
Andrew Hough,M,SBD,Raw,40,40-44,40-49,Masters 40-49,74.1,75,130,142.5,155,,155,90,95,105,,105,167.5,177.5,187.5,,187.5,447.5,1,323.55,321.58,310.89,65.65,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
Leighton Mccoy,M,SBD,Raw,17,16-17,14-18,Teen 17-19,72.6,75,125,140,150,,150,90,100,105,,105,155,170,180,,180,435,1,318.76,317.23,306.94,64.50,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
Sally Merchant-Edge,F,D,Raw,55,55-59,50-59,Masters 50-59,72.65,75,,,,,,,,,,,92.5,102.5,110,,110,110,1,108.98,106.73,93.99,,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
Juliet Hancox,F,SBD,Raw,28,24-34,24-39,Open,153.3,140+,-75,80,85,,85,45,47.5,-50,,47.5,-105,105,-107.5,,105,237.5,1,183.05,182.47,152.69,39.55,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
Jessica Hett,F,SBD,Raw,39,35-39,,Open,79.25,82.5,100,105,107.5,,107.5,47.5,-50,-50,,47.5,115,120,122.5,,122.5,277.5,1,262.71,255.26,223.98,53.68,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
Karen Ball,F,SBD,Raw,53,50-54,50-59,Masters 50-59,66.55,67.5,45,55,-65,,55,40,45,47.5,,47.5,80,90,100,,100,202.5,1,210.79,208.80,184.24,42.83,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
Tracy Philbert,F,SBD,Raw,48,45-49,40-49,Masters 40-49,107.2,110,120,127.5,137.5,,137.5,70,-75,75,,75,145,155,167.5,,167.5,380,1,316.03,310.72,264.73,66.61,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
Simon Williams #3,M,D,Raw,60,60-64,60-69,Masters 60-69,66.95,67.5,,,,,,,,,,,120,-130,130,,130,130,1,100.79,100.89,97.97,,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
Chris Kennett,M,SBD,Raw,41,40-44,40-49,Masters 40-49,109.25,110,150,160,-170,,160,90,95,-97.5,,95,180,-195,195,,195,450,1,267.21,265.38,253.59,54.55,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
Steve Hibbert,M,SBD,Raw,42,40-44,40-49,Masters 40-49,112.4,125,-130,130,-140,,130,90,-95,-95,,90,170,180,182.5,,182.5,402.5,1,236.49,235.36,225.10,48.17,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
David Giles,M,SBD,Raw,32,24-34,24-39,Open,89.3,90,-195,205,210,,210,120,125,-130,,125,225,232.5,240,,240,575,1,373.27,368.55,353.34,76.74,,Scotland,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
Darren Jones,M,SBD,Raw,42,40-44,40-49,Masters 40-49,96.75,100,160,170,180,,180,122.5,132.5,140,,140,225,237.5,252.5,,252.5,572.5,1,357.58,353.24,337.64,73.47,,,,WRPF-UK,WRPF,2025-10-19,UK,,Warrington,Raw Strength Novice II,Yes
